State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total Charge
TX,90,415,No,No,0,109.6,88.0,18.63,137.6,108.0,11.7,121.0,7.19,11.0,5,2.97,2.0,False,25.82
NY,41,415,No,No,0,209.9,105.0,35.68,121.9,105.0,10.36,104.0,11.42,9.6,4,2.59,1.0,False,47.1
OR,69,415,No,No,0,167.5,76.0,28.48,242.1,92.0,20.58,103.0,4.55,11.4,4,3.08,2.0,False,33.03
WY,33,415,No,No,0,213.9,88.0,36.36,239.8,119.0,20.38,71.0,6.69,9.8,14,2.65,2.0,False,43.05
UT,112,415,No,No,0,115.8,108.0,19.69,243.3,111.0,20.68,78.0,8.31,13.1,5,3.54,1.0,False,28.0
LA,108,510,No,Yes,30,276.6,99.0,47.02,220.1,113.0,18.71,95.0,8.01,9.8,6,2.65,2.0,False,55.03
NV,136,415,No,Yes,21,179.4,88.0,30.5,181.1,97.0,15.39,120.0,14.43,9.5,4,2.57,2.0,False,44.93
NC,128,510,No,No,0,187.3,84.0,31.84,270.8,95.0,23.02,68.0,9.29,10.1,5,2.73,1.0,False,41.129999999999995
NC,27,408,No,No,0,201.2,128.0,34.2,227.2,100.0,19.31,91.0,6.56,8.4,3,2.27,2.0,False,40.760000000000005
WY,161,415,Yes,No,0,189.6,78.0,32.23,267.4,117.0,22.73,137.0,8.3,1.3,6,0.35,1.0,False,40.53
TN,33,415,No,Yes,35,186.8,124.0,31.76,261.0,69.0,22.19,103.0,14.3,15.0,5,4.05,0.0,False,46.06
FL,120,415,No,Yes,31,153.5,83.0,26.1,219.1,96.0,18.62,76.0,10.68,11.4,4,3.08,0.0,False,36.78
CA,113,415,No,No,0,187.6,97.0,31.89,208.2,118.0,17.7,101.0,7.15,8.7,6,2.35,2.0,False,39.04
PA,122,415,Yes,No,0,230.9,132.0,39.25,243.2,99.0,20.67,57.0,8.21,11.0,2,2.97,0.0,True,47.46
WV,148,415,No,Yes,26,244.9,150.0,41.63,118.0,138.0,10.03,91.0,10.62,15.2,4,4.1,2.0,False,52.25
NJ,74,415,No,No,0,230.9,93.0,39.25,223.0,78.0,18.96,101.0,7.1,9.7,2,2.62,3.0,False,46.35
MT,106,415,No,No,0,187.1,104.0,31.81,250.2,117.0,21.27,81.0,6.52,11.0,3,2.97,1.0,False,38.33
MN,179,415,No,No,0,170.7,54.0,29.02,191.1,108.0,16.24,107.0,9.66,13.3,4,3.59,1.0,False,38.68
WI,149,415,Yes,Yes,28,126.9,97.0,21.57,166.9,102.0,14.19,77.0,6.53,8.8,3,2.38,5.0,True,28.1
ID,77,510,No,No,0,189.5,112.0,32.22,207.0,95.0,17.6,91.0,9.63,9.2,7,2.48,0.0,False,41.85
MA,127,408,Yes,No,0,176.9,110.0,30.07,167.9,100.0,14.27,138.0,8.2,7.7,2,2.08,1.0,True,38.269999999999996
OR,80,415,No,No,0,161.1,99.0,27.39,198.8,81.0,16.9,116.0,10.28,10.6,4,2.86,1.0,False,37.67
MT,106,510,No,No,0,169.4,107.0,28.8,197.2,71.0,16.76,79.0,9.1,10.7,4,2.89,1.0,False,37.9
AL,61,415,No,Yes,20,254.4,133.0,43.25,161.7,96.0,13.74,91.0,11.31,10.5,4,2.84,0.0,False,54.56
ND,135,510,Yes,Yes,24,127.7,54.0,21.71,215.0,105.0,18.28,84.0,10.54,5.8,4,1.57,2.0,False,32.25
LA,115,415,No,Yes,26,170.5,107.0,28.99,217.2,77.0,18.46,71.0,10.16,13.6,5,3.67,6.0,False,39.15
ND,167,408,Yes,No,0,219.1,100.0,37.25,242.9,90.0,20.65,101.0,7.6,10.1,4,2.73,2.0,False,44.85
MS,107,510,Yes,No,0,273.5,104.0,46.5,183.8,68.0,15.62,67.0,6.92,11.0,9,2.97,2.0,False,53.42
WV,112,415,Yes,No,0,161.9,138.0,27.52,200.9,114.0,17.08,134.0,6.03,10.7,4,2.89,1.0,False,33.55
WI,35,510,No,Yes,27,241.7,87.0,41.09,142.0,101.0,12.07,68.0,13.0,9.4,4,2.54,1.0,False,54.09
KS,103,408,Yes,No,0,62.8,124.0,10.68,170.4,66.0,14.48,78.0,12.61,9.4,4,2.54,3.0,False,23.29
MO,107,415,No,Yes,22,281.1,83.0,47.79,143.7,130.0,12.21,128.0,10.77,11.2,9,3.02,1.0,False,58.56
PA,69,415,No,No,0,228.2,70.0,38.79,263.7,80.0,22.41,60.0,6.42,10.7,5,2.89,3.0,False,45.21
SD,85,408,No,No,0,209.8,82.0,35.67,194.5,94.0,16.53,85.0,9.02,11.3,3,3.05,0.0,False,44.69
NJ,24,408,No,No,0,265.6,86.0,45.15,208.8,102.0,17.75,105.0,8.21,11.1,6,3.0,2.0,True,53.36
AL,90,415,No,No,0,214.9,97.0,36.53,117.8,117.0,10.01,78.0,6.02,11.8,2,3.19,2.0,False,42.55
ME,137,510,No,No,0,110.5,79.0,18.79,223.2,111.0,18.97,64.0,7.63,10.5,3,2.84,3.0,False,26.419999999999998
AZ,92,415,Yes,Yes,45,281.1,88.0,47.79,198.0,103.0,16.83,76.0,4.24,7.5,3,2.03,0.0,False,52.03
VT,38,415,No,No,0,137.8,86.0,23.43,286.3,76.0,24.34,77.0,7.52,14.1,3,3.81,2.0,False,30.95
NV,69,510,Yes,Yes,33,271.5,98.0,46.16,253.4,102.0,21.54,85.0,7.44,8.2,2,2.21,1.0,True,53.599999999999994
WI,45,408,No,No,0,112.8,108.0,19.18,218.8,120.0,18.6,106.0,10.81,9.0,3,2.43,2.0,False,29.990000000000002
HI,73,408,No,No,0,187.3,118.0,31.84,239.7,90.0,20.37,108.0,7.54,15.1,2,4.08,1.0,False,39.38
DE,92,415,No,No,0,197.0,84.0,33.49,269.3,105.0,22.89,105.0,7.15,10.8,4,2.92,1.0,False,40.64
AZ,113,415,No,Yes,32,180.4,89.0,30.67,129.4,124.0,11.0,124.0,7.51,8.4,2,2.27,1.0,False,38.18
VA,68,408,Yes,No,0,148.5,126.0,25.25,219.4,125.0,18.65,121.0,8.93,14.5,7,3.92,1.0,True,34.18
GA,135,415,No,Yes,22,197.1,113.0,33.51,259.4,95.0,22.05,135.0,6.06,14.6,5,3.94,2.0,False,39.57
AZ,100,415,No,Yes,26,153.7,115.0,26.13,137.8,146.0,11.71,104.0,9.61,15.9,5,4.29,1.0,False,35.739999999999995
MN,96,415,No,Yes,27,261.3,96.0,44.42,220.9,101.0,18.78,97.0,8.07,11.3,2,3.05,1.0,False,52.49
ME,108,510,No,No,0,246.2,102.0,41.85,202.4,134.0,17.2,95.0,8.1,9.4,5,2.54,1.0,False,49.95
FL,84,510,No,No,0,191.0,88.0,32.47,318.8,119.0,27.1,79.0,11.13,6.5,4,1.76,0.0,False,43.6
WA,134,408,No,No,0,208.3,86.0,35.41,253.6,89.0,21.56,86.0,13.1,12.6,3,3.4,1.0,False,48.51
MT,72,415,No,No,0,253.0,73.0,43.01,219.3,78.0,18.64,89.0,9.49,9.8,4,2.65,0.0,False,52.5
AL,83,408,No,No,0,202.3,87.0,34.39,201.5,111.0,17.13,82.0,4.58,6.8,4,1.84,0.0,False,38.97
WV,137,408,No,No,0,174.4,120.0,29.65,156.3,98.0,13.29,121.0,6.14,10.2,5,2.75,0.0,False,35.79
GA,56,415,No,Yes,30,127.1,89.0,21.61,172.1,116.0,14.63,111.0,8.76,12.1,3,3.27,1.0,False,30.369999999999997
OH,61,510,Yes,Yes,16,143.5,76.0,24.4,242.6,58.0,20.62,95.0,6.65,11.3,3,3.05,0.0,False,31.049999999999997
DE,171,510,No,Yes,17,186.9,94.0,31.77,240.0,138.0,20.4,64.0,9.04,5.8,3,1.57,1.0,False,40.81
NE,123,510,No,No,0,194.0,118.0,32.98,242.0,114.0,20.57,108.0,6.58,12.1,4,3.27,1.0,False,39.559999999999995
FL,58,510,No,No,0,234.8,89.0,39.92,106.8,131.0,9.08,122.0,8.03,9.9,6,2.67,0.0,False,47.95
AK,156,510,No,No,0,123.7,96.0,21.03,103.0,80.0,8.76,82.0,8.52,13.1,4,3.54,1.0,False,29.55
WI,166,510,No,No,0,173.9,103.0,29.56,276.4,83.0,23.49,113.0,8.59,15.3,5,4.13,0.0,False,38.15
WA,75,510,No,Yes,41,130.9,115.0,22.25,203.4,110.0,17.29,68.0,7.73,12.4,4,3.35,1.0,False,29.98
KY,75,415,No,No,0,314.6,102.0,53.48,169.8,86.0,14.43,100.0,12.83,5.7,3,1.54,2.0,True,66.31
OH,83,510,No,No,0,227.9,78.0,38.74,207.5,115.0,17.64,100.0,9.53,12.1,5,3.27,1.0,False,48.27
UT,243,510,No,No,0,95.5,92.0,16.24,163.7,63.0,13.91,118.0,11.89,6.6,6,1.78,2.0,False,28.13
NM,153,408,No,No,0,185.3,127.0,31.5,208.0,73.0,17.68,124.0,9.27,15.1,3,4.08,1.0,False,40.769999999999996
MN,150,415,No,No,0,146.3,133.0,24.87,202.7,95.0,17.23,103.0,10.56,13.1,3,3.54,1.0,False,35.43
WV,92,510,No,Yes,16,184.0,99.0,31.28,76.4,134.0,6.49,96.0,8.33,12.7,3,3.43,2.0,False,39.61
MN,80,415,No,No,0,105.8,110.0,17.99,43.9,88.0,3.73,87.0,8.53,13.1,5,3.54,0.0,False,26.519999999999996
AL,134,415,No,No,0,178.0,110.0,30.26,153.8,64.0,13.07,105.0,10.65,11.7,4,3.16,1.0,False,40.910000000000004
PA,77,510,No,Yes,24,149.4,74.0,25.4,123.9,72.0,10.53,84.0,7.84,10.1,6,2.73,1.0,False,33.239999999999995
DE,147,510,No,No,0,209.4,104.0,35.6,132.5,78.0,11.26,123.0,6.72,11.3,3,3.05,2.0,False,42.32
MO,74,415,No,No,0,172.1,105.0,29.26,211.7,99.0,17.99,105.0,8.2,11.6,6,3.13,1.0,False,37.46
IL,138,510,Yes,No,0,169.3,82.0,28.78,217.9,147.0,18.52,77.0,8.29,9.4,9,2.54,1.0,False,37.07
FL,143,415,No,No,0,119.1,117.0,20.25,287.7,136.0,24.45,100.0,10.04,12.2,4,3.29,0.0,False,30.29
HI,64,415,No,No,0,194.2,147.0,33.01,173.4,87.0,14.74,114.0,12.09,5.5,2,1.49,2.0,False,45.099999999999994
ME,120,510,No,No,0,198.8,56.0,33.8,230.1,73.0,19.56,81.0,5.39,9.9,3,2.67,2.0,False,39.19
CO,121,408,Yes,No,0,167.7,94.0,28.51,93.7,121.0,7.96,115.0,10.86,13.4,1,3.62,3.0,True,39.370000000000005
NH,88,415,No,No,0,202.2,86.0,34.37,216.8,93.0,18.43,99.0,10.77,11.8,2,3.19,2.0,False,45.14
SC,87,408,No,No,0,322.5,106.0,54.83,204.6,93.0,17.39,128.0,8.38,9.4,4,2.54,2.0,True,63.21
IN,100,510,No,No,0,216.2,107.0,36.75,215.6,84.0,18.33,127.0,6.23,10.2,3,2.75,0.0,False,42.980000000000004
FL,104,415,No,No,0,76.4,116.0,12.99,115.6,74.0,9.83,94.0,10.18,9.4,3,2.54,3.0,False,23.17
GA,27,510,No,No,0,72.7,75.0,12.36,208.6,117.0,17.73,71.0,2.96,9.9,3,2.67,1.0,False,15.32
IL,81,415,No,Yes,31,210.4,100.0,35.77,225.5,97.0,19.17,120.0,7.59,9.7,4,2.62,0.0,False,43.36
NC,64,510,Yes,Yes,33,127.2,93.0,21.62,162.9,104.0,13.85,109.0,11.13,8.1,13,2.19,0.0,False,32.75
VT,107,510,No,Yes,28,201.8,79.0,34.31,304.9,128.0,25.92,133.0,10.15,11.9,8,3.21,1.0,False,44.46
DC,88,415,No,Yes,17,219.5,78.0,37.32,222.1,94.0,18.88,92.0,8.47,16.1,5,4.35,1.0,False,45.79
VT,111,408,No,No,0,99.3,112.0,16.88,270.5,136.0,22.99,94.0,10.14,9.0,6,2.43,3.0,False,27.02
NV,77,415,No,No,0,239.2,114.0,40.66,150.0,115.0,12.75,81.0,7.24,10.3,2,2.78,5.0,False,47.9
OR,67,415,Yes,No,0,120.9,58.0,20.55,235.0,88.0,19.98,130.0,4.28,11.4,11,3.08,2.0,False,24.830000000000002
AL,102,408,No,No,0,224.7,81.0,38.2,129.4,112.0,11.0,109.0,7.54,15.8,6,4.27,1.0,False,45.74
ND,146,408,No,Yes,19,176.6,88.0,30.02,162.7,66.0,13.83,98.0,9.7,14.6,6,3.94,1.0,False,39.72
FL,144,415,No,Yes,51,283.9,98.0,48.26,192.0,109.0,16.32,85.0,8.83,10.0,4,2.7,1.0,False,57.089999999999996
NE,96,415,No,No,0,180.6,92.0,30.7,190.9,114.0,16.23,125.0,13.3,10.3,4,2.78,1.0,True,44.0
ND,70,415,No,Yes,31,125.9,101.0,21.4,196.4,102.0,16.69,75.0,11.37,10.3,4,2.78,1.0,False,32.769999999999996
ME,149,408,No,No,0,237.6,79.0,40.39,192.4,107.0,16.35,111.0,9.33,9.1,9,2.46,0.0,False,49.72
IL,129,415,No,No,0,198.4,91.0,33.73,264.7,106.0,22.5,101.0,5.01,9.2,2,2.48,2.0,False,38.739999999999995
WA,166,408,No,No,0,274.3,110.0,46.63,52.9,109.0,4.5,119.0,11.07,10.9,5,2.94,0.0,False,57.7
MA,136,408,Yes,No,0,199.6,89.0,33.93,211.4,96.0,17.97,84.0,3.26,11.0,4,2.97,3.0,True,37.19
KS,149,510,No,No,0,217.7,91.0,37.01,273.5,74.0,23.25,99.0,10.21,9.6,3,2.59,3.0,False,47.22
RI,70,415,No,No,0,134.7,96.0,22.9,235.9,90.0,20.05,113.0,11.71,7.6,6,2.05,3.0,False,34.61
MO,120,415,No,Yes,24,212.7,73.0,36.16,257.5,103.0,21.89,119.0,10.25,9.7,13,2.62,2.0,False,46.41
IA,66,510,No,No,0,256.3,135.0,43.57,180.2,106.0,15.32,135.0,8.43,6.2,7,1.67,2.0,False,52.0
WY,104,408,No,No,0,183.6,133.0,31.21,120.7,98.0,10.26,112.0,9.68,12.7,2,3.43,1.0,False,40.89
NV,160,415,No,No,0,176.2,90.0,29.95,196.0,115.0,16.66,95.0,11.88,9.2,4,2.48,1.0,False,41.83
WI,129,415,No,Yes,37,205.0,94.0,34.85,165.4,103.0,14.06,81.0,8.32,11.7,8,3.16,1.0,False,43.17
AL,93,408,No,No,0,267.9,114.0,45.54,223.0,74.0,18.96,90.0,11.82,11.3,3,3.05,3.0,True,57.36
HI,169,415,No,No,0,179.2,111.0,30.46,175.2,130.0,14.89,92.0,10.29,9.9,6,2.67,2.0,False,40.75
MO,58,415,No,No,0,149.4,145.0,25.4,196.5,105.0,16.7,108.0,9.43,14.9,3,4.02,1.0,False,34.83
CA,75,510,No,Yes,38,163.6,132.0,27.81,146.7,113.0,12.47,115.0,15.56,13.1,3,3.54,3.0,False,43.37
MO,45,408,No,No,0,207.6,71.0,35.29,152.7,94.0,12.98,125.0,9.8,12.4,13,3.35,1.0,False,45.09
CT,155,510,No,No,0,165.4,108.0,28.12,183.7,103.0,15.61,108.0,3.61,8.9,4,2.4,3.0,False,31.73
MD,52,415,No,No,0,209.8,114.0,35.67,171.3,82.0,14.56,119.0,6.96,9.9,9,2.67,4.0,False,42.63
OH,119,415,No,Yes,27,220.1,128.0,37.42,268.2,133.0,22.8,80.0,6.59,11.1,3,3.0,0.0,False,44.010000000000005
NV,86,510,No,No,0,141.3,72.0,24.02,154.3,95.0,13.12,91.0,9.48,8.2,5,2.21,1.0,False,33.5
MD,42,408,No,No,0,196.5,89.0,33.41,241.3,123.0,20.51,105.0,6.44,4.0,7,1.08,0.0,False,39.849999999999994
NE,127,510,Yes,No,0,180.9,114.0,30.75,209.5,118.0,17.81,105.0,11.25,7.4,4,2.0,2.0,False,42.0
OH,123,408,No,No,0,105.0,150.0,17.85,251.6,90.0,21.39,93.0,11.61,14.9,5,4.02,0.0,False,29.46
MA,98,510,No,No,0,271.4,119.0,46.14,190.4,102.0,16.18,118.0,12.81,11.1,6,3.0,4.0,True,58.95
OK,149,510,No,Yes,43,206.7,79.0,35.14,174.6,122.0,14.84,80.0,10.87,10.9,3,2.94,1.0,False,46.01
MA,160,408,No,No,0,166.8,109.0,28.36,236.0,117.0,20.06,77.0,13.84,9.3,1,2.51,1.0,False,42.2
WA,103,415,No,No,0,204.9,107.0,34.83,135.2,102.0,11.49,106.0,9.37,10.4,3,2.81,5.0,False,44.199999999999996
HI,132,415,No,Yes,15,154.6,128.0,26.28,245.6,106.0,20.88,90.0,6.69,9.1,4,2.46,1.0,False,32.97
CO,137,415,No,No,0,127.0,107.0,21.59,323.2,75.0,27.47,127.0,6.48,7.5,2,2.03,1.0,False,28.07
FL,129,415,Yes,No,0,267.4,78.0,45.46,204.2,85.0,17.36,146.0,5.03,5.9,4,1.59,1.0,False,50.49
WI,62,415,No,No,0,281.0,66.0,47.77,160.6,108.0,13.65,74.0,3.51,0.0,0,0.0,1.0,False,51.28
ID,122,510,No,Yes,33,270.8,96.0,46.04,220.4,110.0,18.73,104.0,7.65,11.8,8,3.19,4.0,False,53.69
WY,32,408,No,No,0,171.2,82.0,29.1,185.6,102.0,15.78,64.0,9.15,10.2,7,2.75,1.0,False,38.25
GA,86,510,No,No,0,124.1,82.0,21.1,202.6,120.0,17.22,119.0,13.03,6.7,8,1.81,3.0,False,34.13
FL,130,415,No,No,0,162.8,113.0,27.68,290.3,111.0,24.68,140.0,5.17,7.2,3,1.94,1.0,False,32.85
WY,42,408,No,No,0,146.3,84.0,24.87,255.9,113.0,21.75,117.0,2.03,8.0,12,2.16,1.0,False,26.900000000000002
DE,73,415,No,No,0,254.8,85.0,43.32,143.4,80.0,12.19,102.0,6.93,15.0,7,4.05,2.0,False,50.25
ME,66,408,No,Yes,26,254.9,108.0,43.33,243.2,135.0,20.67,95.0,8.59,5.4,3,1.46,2.0,False,51.92
DC,103,510,No,Yes,31,107.7,124.0,18.31,188.9,104.0,16.06,98.0,8.83,8.9,3,2.4,0.0,False,27.14
IA,128,408,No,No,0,158.8,75.0,27.0,264.8,91.0,22.51,77.0,12.15,7.6,7,2.05,1.0,False,39.15
CO,104,415,No,No,0,182.9,113.0,31.09,239.6,85.0,20.37,104.0,10.34,5.5,4,1.49,2.0,False,41.43
MN,103,415,No,No,0,198.5,112.0,33.75,42.5,90.0,3.61,124.0,8.06,12.4,5,3.35,0.0,False,41.81
VT,124,415,No,No,0,178.4,72.0,30.33,233.6,134.0,19.86,91.0,8.07,12.0,2,3.24,0.0,False,38.4
AZ,87,510,No,No,0,110.9,91.0,18.85,158.5,115.0,13.47,131.0,9.34,6.2,5,1.67,1.0,False,28.19
LA,109,415,No,Yes,27,166.9,85.0,28.37,221.2,92.0,18.8,97.0,8.88,12.3,4,3.32,1.0,True,37.25
MO,167,415,Yes,No,0,244.8,91.0,41.62,60.8,105.0,5.17,110.0,7.95,10.7,3,2.89,2.0,False,49.57
ME,97,510,No,No,0,120.8,96.0,20.54,169.8,101.0,14.43,63.0,8.73,11.9,3,3.21,4.0,True,29.27
MD,106,415,No,No,0,165.3,118.0,28.1,210.0,101.0,17.85,93.0,8.42,8.5,3,2.3,2.0,False,36.52
VT,125,415,No,No,0,126.7,113.0,21.54,155.5,131.0,13.22,112.0,9.28,14.4,7,3.89,2.0,False,30.82
DC,108,408,No,Yes,35,215.9,106.0,36.7,200.6,107.0,17.05,107.0,8.79,15.5,7,4.19,0.0,False,45.49
WY,125,415,No,No,0,140.1,132.0,23.82,209.6,126.0,17.82,77.0,11.88,8.0,2,2.16,1.0,False,35.7
VA,89,415,No,Yes,32,209.9,113.0,35.68,249.8,104.0,21.23,92.0,10.09,8.7,7,2.35,1.0,False,45.769999999999996
VA,72,510,Yes,Yes,29,139.8,114.0,23.77,138.2,91.0,11.75,88.0,9.95,5.5,6,1.49,0.0,False,33.72
CT,23,510,No,No,0,321.6,107.0,54.67,251.6,115.0,21.39,158.0,6.35,11.3,3,3.05,2.0,True,61.02
HI,149,510,No,No,0,166.6,61.0,28.32,218.8,107.0,18.6,131.0,9.37,8.2,6,2.21,7.0,False,37.69
WI,73,415,No,No,0,214.2,90.0,36.41,196.8,78.0,16.73,112.0,7.11,5.9,8,1.59,0.0,False,43.519999999999996
MD,61,415,No,No,0,260.0,123.0,44.2,210.5,127.0,17.89,70.0,10.56,9.0,3,2.43,1.0,True,54.760000000000005
WV,161,415,No,No,0,191.9,113.0,32.62,70.9,87.0,6.03,107.0,9.22,13.4,4,3.62,4.0,True,41.839999999999996
VT,73,408,No,No,0,213.0,95.0,36.21,188.8,104.0,16.05,89.0,6.13,13.5,3,3.65,0.0,False,42.34
UT,118,415,No,Yes,24,118.1,83.0,20.08,109.6,72.0,9.32,73.0,11.05,16.9,2,4.56,1.0,False,31.13
CO,23,408,No,No,0,190.2,89.0,32.33,166.4,108.0,14.14,73.0,9.89,15.0,4,4.05,6.0,False,42.22
NC,127,415,No,Yes,25,82.2,95.0,13.97,163.3,109.0,13.88,104.0,11.92,5.1,6,1.38,0.0,False,25.89
NJ,42,415,No,Yes,32,163.8,80.0,27.85,177.8,123.0,15.11,106.0,8.57,8.1,5,2.19,0.0,False,36.42
AR,118,415,No,No,0,267.8,145.0,45.53,316.4,121.0,26.89,91.0,9.39,14.4,11,3.89,5.0,True,54.92
IA,45,510,No,No,0,159.8,91.0,27.17,120.4,86.0,10.23,93.0,7.34,10.6,3,2.86,2.0,False,34.510000000000005
GA,50,408,No,Yes,24,214.3,129.0,36.43,289.8,55.0,24.63,130.0,14.06,10.6,4,2.86,1.0,False,50.49
MO,179,510,No,No,0,287.3,123.0,48.84,288.0,114.0,24.48,112.0,11.97,10.5,4,2.84,0.0,True,60.81
MO,152,408,No,No,0,101.2,122.0,17.2,141.6,87.0,12.04,124.0,8.93,7.5,3,2.03,2.0,False,26.13
WY,105,415,No,No,0,102.8,74.0,17.48,281.7,125.0,23.94,113.0,10.26,13.2,5,3.56,2.0,False,27.740000000000002
HI,72,415,No,No,0,109.1,97.0,18.55,115.7,96.0,9.83,84.0,13.31,8.3,6,2.24,0.0,False,31.86
PA,52,408,No,No,0,215.9,67.0,36.7,217.0,108.0,18.45,130.0,15.43,5.2,2,1.4,1.0,False,52.13
TX,125,415,No,No,0,203.4,110.0,34.58,128.7,97.0,10.94,113.0,8.57,11.0,4,2.97,1.0,False,43.15
VA,143,510,No,No,0,110.1,113.0,18.72,169.0,59.0,14.37,94.0,7.5,9.2,2,2.48,1.0,False,26.22
RI,65,415,No,No,0,111.0,51.0,18.87,219.8,84.0,18.68,89.0,9.09,4.4,14,1.19,1.0,False,27.96
WI,80,415,No,No,0,239.9,121.0,40.78,142.3,51.0,12.1,106.0,16.39,9.3,5,2.51,1.0,False,57.17
MS,1,415,No,No,0,144.8,107.0,24.62,112.5,66.0,9.56,79.0,9.84,13.8,3,3.73,1.0,False,34.46
KY,60,408,No,No,0,135.4,134.0,23.02,205.9,85.0,17.5,103.0,9.18,7.9,4,2.13,1.0,False,32.2
NC,43,415,No,No,0,84.2,134.0,14.31,80.8,103.0,6.87,79.0,8.82,10.8,2,2.92,1.0,False,23.130000000000003
NV,143,415,No,No,0,209.1,127.0,35.55,106.1,80.0,9.02,90.0,8.08,14.0,6,3.78,0.0,False,43.629999999999995
UT,81,415,No,Yes,24,130.1,117.0,22.12,196.0,61.0,16.66,123.0,6.27,11.4,5,3.08,0.0,False,28.39
ME,205,510,No,Yes,24,175.8,139.0,29.89,155.0,98.0,13.18,64.0,8.13,7.8,5,2.11,2.0,False,38.02
HI,24,415,No,No,0,241.9,104.0,41.12,145.2,112.0,12.34,105.0,9.65,6.6,5,1.78,1.0,False,50.769999999999996
OH,74,415,No,No,0,136.7,106.0,23.24,228.6,105.0,19.43,114.0,11.94,9.8,4,2.65,0.0,False,35.18
WV,77,510,No,No,0,67.7,68.0,11.51,195.7,86.0,16.63,137.0,10.64,12.0,2,3.24,1.0,False,22.15
OK,74,415,No,No,0,200.4,87.0,34.07,309.2,105.0,26.28,118.0,6.84,10.0,2,2.7,1.0,False,40.91
KY,74,510,Yes,No,0,125.8,103.0,21.39,207.7,96.0,17.65,143.0,9.33,14.1,4,3.81,1.0,True,30.72
AL,200,408,No,No,0,128.2,87.0,21.79,133.2,105.0,11.32,123.0,7.99,11.2,2,3.02,1.0,False,29.78
MD,86,408,No,No,0,226.3,88.0,38.47,223.0,107.0,18.96,92.0,11.5,13.0,3,3.51,4.0,False,49.97
NE,91,510,No,Yes,37,162.3,107.0,27.59,233.9,115.0,19.88,94.0,12.48,9.2,4,2.48,0.0,False,40.07
DC,76,415,No,No,0,224.4,121.0,38.15,147.9,97.0,12.57,74.0,8.27,6.7,2,1.81,2.0,False,46.42
TX,130,415,No,No,0,120.5,127.0,20.49,189.7,52.0,16.12,107.0,12.15,14.3,2,3.86,1.0,False,32.64
OH,56,408,No,No,0,91.1,90.0,15.49,179.3,115.0,15.24,89.0,13.53,11.9,8,3.21,2.0,False,29.02
DE,117,415,No,No,0,168.8,137.0,28.7,241.4,107.0,20.52,106.0,9.22,15.5,4,4.19,0.0,False,37.92
IA,63,510,No,No,0,153.5,81.0,26.1,287.3,115.0,24.42,85.0,10.36,6.5,5,1.76,2.0,False,36.46
VT,126,415,No,No,0,226.2,88.0,38.45,140.3,114.0,11.93,110.0,9.4,6.4,2,1.73,0.0,False,47.85
OR,132,510,No,No,0,191.9,107.0,32.62,206.9,127.0,17.59,88.0,12.24,12.6,2,3.4,1.0,False,44.86
NV,81,415,No,Yes,28,167.9,147.0,28.54,190.7,105.0,16.21,103.0,8.69,9.2,6,2.48,4.0,True,37.23
NC,122,415,No,No,0,180.0,88.0,30.6,145.0,77.0,12.33,120.0,10.52,11.5,6,3.11,2.0,False,41.120000000000005
NJ,46,408,No,No,0,257.4,67.0,43.76,261.1,91.0,22.19,107.0,9.2,13.4,5,3.62,2.0,True,52.959999999999994
MN,150,415,No,Yes,28,174.4,75.0,29.65,169.9,80.0,14.44,130.0,9.07,11.0,4,2.97,1.0,False,38.72
ID,99,408,No,No,0,159.7,83.0,27.15,155.4,121.0,13.21,114.0,11.51,8.4,3,2.27,1.0,False,38.66
AL,87,408,No,No,0,237.2,124.0,40.32,222.6,87.0,18.92,81.0,7.8,11.0,3,2.97,1.0,False,48.12
AK,108,415,No,No,0,103.0,129.0,17.51,242.3,103.0,20.6,89.0,7.66,7.9,3,2.13,1.0,False,25.17
VT,101,415,No,No,0,153.8,89.0,26.15,234.0,89.0,19.89,77.0,8.83,11.6,2,3.13,4.0,False,34.98
PA,53,415,No,No,0,205.1,86.0,34.87,160.5,95.0,13.64,142.0,6.73,10.7,2,2.89,3.0,False,41.599999999999994
AK,132,415,No,Yes,39,175.7,93.0,29.87,187.2,94.0,15.91,118.0,10.15,8.6,3,2.32,2.0,False,40.02
CA,158,510,No,No,0,155.9,123.0,26.5,224.2,112.0,19.06,116.0,9.95,8.6,8,2.32,2.0,False,36.45
MS,114,415,No,Yes,34,154.4,109.0,26.25,221.4,142.0,18.82,103.0,9.38,10.3,5,2.78,0.0,False,35.63
AR,77,415,No,Yes,23,209.7,73.0,35.65,183.6,63.0,15.61,111.0,9.25,7.1,3,1.92,2.0,False,44.9
NV,144,415,Yes,No,0,150.0,69.0,25.5,285.9,73.0,24.3,121.0,8.58,9.4,15,2.54,0.0,False,34.08
AL,91,510,No,Yes,23,232.4,97.0,39.51,186.0,88.0,15.81,128.0,8.57,12.3,3,3.32,3.0,False,48.08
GA,58,408,No,No,0,165.4,100.0,28.12,115.7,87.0,9.83,118.0,8.72,12.8,5,3.46,2.0,False,36.84
AR,5,415,No,No,0,199.2,106.0,33.86,187.3,12.0,15.92,85.0,9.63,13.3,3,3.59,3.0,False,43.49
